Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3547700;Interior;Santo Anastácio;1088;19;;;
3547809;RMSP (exceto capital);Santo André;48758;2033;;;
3547908;Interior;Santo Antônio da Alegria;386;11;;;
3548005;Interior;Santo Antônio de Posse;1898;22;;;
3548054;Interior;Santo Antônio do Aracanguá;447;20;;;
3548104;Interior;Santo Antônio do Jardim;359;15;;;
3548203;Interior;Santo Antônio do Pinhal;390;5;;;
3548302;Interior;Santo Expedito;143;3;;;
3548401;Interior;Santópolis do Aguapeí;364;12;;;
3548500;Interior;Santos;47927;1462;;;
3548609;Interior;São Bento do Sapucaí;436;4;;;
3548708;RMSP (exceto capital);São Bernardo do Campo;57219;2259;;;
3548807;RMSP (exceto capital);São Caetano do Sul;14308;666;;;
3548906;Interior;São Carlos;16712;283;;;
3549003;Interior;São Francisco;173;8;;;
3549102;Interior;São João da Boa Vista;5649;169;;;
3549201;Interior;São João das Duas Pontes;136;5;;;
3549250;Interior;São João de Iracema;89;5;;;
3549300;Interior;São João do Pau d'Alho;103;0;;;
3549409;Interior;São Joaquim da Barra;3647;73;;;
3549508;Interior;São José da Bela Vista;170;8;;;
3549607;Interior;São José do Barreiro;195;4;;;
3549706;Interior;São José do Rio Pardo;1469;61;;;
3549805;Interior;São José do Rio Preto;64857;1893;;;
3549904;Interior;São José dos Campos;61820;1192;;;
3549953;RMSP (exceto capital);São Lourenço da Serra;552;27;;;
3550001;Interior;São Luiz do Paraitinga;29;7;;;
3550100;Interior;São Manuel;2915;80;;;
3550209;Interior;São Miguel Arcanjo;1073;41;;;
3550308;Capital;São Paulo;712523;27092;;;
3550407;Interior;São Pedro;3171;47;;;
3550506;Interior;São Pedro do Turvo;450;5;;;
3550605;Interior;São Roque;4528;49;;;
3550704;Interior;São Sebastião;6001;125;;;
3550803;Interior;São Sebastião da Grama;660;23;;;
3550902;Interior;São Simão;642;17;;;
3551009;Interior;São Vicente;14304;782;;;
3551108;Interior;Sarapuí;306;3;;;
3551207;Interior;Sarutaiá;101;6;;;
3551306;Interior;Sebastianópolis do Sul;110;6;;;
3551405;Interior;Serra Azul;996;11;;;
3551504;Interior;Serrana;3695;78;;;
3551603;Interior;Serra Negra;1692;33;;;
3551702;Interior;Sertãozinho;11291;296;;;
3551801;Interior;Sete Barras;1145;27;;;
3551900;Interior;Severínia;1768;38;;;
3552007;Interior;Silveiras;288;4;;;
3552106;Interior;Socorro;2330;31;;;
3552205;Interior;Sorocaba;47869;1576;;;
3552304;Interior;Sud Mennucci;689;9;;;
3552403;Interior;Sumaré;17676;560;;;
3552502;RMSP (exceto capital);Suzano;16014;608;;;
3552551;Interior;Suzanápolis;275;8;;;
3552601;Interior;Tabapuã;940;31;;;
3552700;Interior;Tabatinga;1390;43;;;
3552809;RMSP (exceto capital);Taboão da Serra;14722;626;;;
3552908;Interior;Taciba;340;12;;;
3553005;Interior;Taguaí;1173;15;;;
